CARD_TYPE,COUNT,PERIOD,TRAIN_LINE
Senior/Pensioner,"18,380",April 2017,Hunter Line
Sgl Trip Rail Adult,868,April 2017,Hunter Line
Sgl Trip Rail Child/Youth,469,April 2017,Hunter Line
Adult,"572,069",April 2017,South Coast Line
Child/Youth,"46,416",April 2017,South Coast Line
Concession,"66,685",April 2017,South Coast Line
CTP,nan,April 2017,South Coast Line
Day Pass Child/Youth w/o SAF,nan,April 2017,South Coast Line
Day Pass without SAF,nan,April 2017,South Coast Line
Employee,"7,380",April 2017,South Coast Line
Free Travel,913,April 2017,South Coast Line
School Student,"12,371",April 2017,South Coast Line
Senior/Pensioner,"105,596",April 2017,South Coast Line
Sgl Trip Rail Adult,"6,118",April 2017,South Coast Line
Sgl Trip Rail Child/Youth,"1,966",April 2017,South Coast Line
Adult,"45,435",April 2017,Southern Highlands Line
Child/Youth,"7,888",April 2017,Southern Highlands Line
Concession,"5,780",April 2017,Southern Highlands Line
CTP,nan,April 2017,Southern Highlands Line
Day Pass without SAF,nan,April 2017,Southern Highlands Line
Employee,843,April 2017,Southern Highlands Line
Free Travel,199,April 2017,Southern Highlands Line
School Student,781,April 2017,Southern Highlands Line
Senior/Pensioner,"18,045",April 2017,Southern Highlands Line
Sgl Trip Rail Adult,568,April 2017,Southern Highlands Line
Sgl Trip Rail Child/Youth,207,April 2017,Southern Highlands Line
Adult,nan,April 2017,Station Link
Child/Youth,nan,April 2017,Station Link
Concession,nan,April 2017,Station Link
Day Pass without SAF,nan,April 2017,Station Link
Employee,nan,April 2017,Station Link
Free Travel,nan,April 2017,Station Link
School Student,nan,April 2017,Station Link
Senior/Pensioner,nan,April 2017,Station Link
Sgl Trip Rail Adult,nan,April 2017,Station Link
Sgl Trip Rail Child/Youth,nan,April 2017,Station Link
Adult,nan,April 2017,T1 North Shore Line
Child/Youth,nan,April 2017,T1 North Shore Line
Concession,nan,April 2017,T1 North Shore Line
CTP,nan,April 2017,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,April 2017,T1 North Shore Line
Day Pass without SAF,nan,April 2017,T1 North Shore Line
Employee,nan,April 2017,T1 North Shore Line
Free Travel,nan,April 2017,T1 North Shore Line
School Student,nan,April 2017,T1 North Shore Line
Senior/Pensioner,nan,April 2017,T1 North Shore Line
Sgl Trip Rail Adult,nan,April 2017,T1 North Shore Line
Sgl Trip Rail Child/Youth,nan,April 2017,T1 North Shore Line
Adult,nan,April 2017,T1 Northern Line
Child/Youth,nan,April 2017,T1 Northern Line
Concession,nan,April 2017,T1 Northern Line
CTP,nan,April 2017,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,April 2017,T1 Northern Line
Day Pass without SAF,nan,April 2017,T1 Northern Line
Employee,nan,April 2017,T1 Northern Line
Free Travel,nan,April 2017,T1 Northern Line
School Student,nan,April 2017,T1 Northern Line
Senior/Pensioner,nan,April 2017,T1 Northern Line
Sgl Trip Rail Adult,nan,April 2017,T1 Northern Line
Sgl Trip Rail Child/Youth,nan,April 2017,T1 Northern Line
Adult,nan,April 2017,T1 Western Line
Child/Youth,nan,April 2017,T1 Western Line
Concession,nan,April 2017,T1 Western Line
CTP,nan,April 2017,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,April 2017,T1 Western Line
Day Pass without SAF,nan,April 2017,T1 Western Line
Employee,nan,April 2017,T1 Western Line
Free Travel,nan,April 2017,T1 Western Line
School Student,nan,April 2017,T1 Western Line
Senior/Pensioner,nan,April 2017,T1 Western Line
Sgl Trip Rail Adult,nan,April 2017,T1 Western Line
Sgl Trip Rail Child/Youth,nan,April 2017,T1 Western Line
Adult,nan,April 2017,T2 Inner West Line
Child/Youth,nan,April 2017,T2 Inner West Line
Concession,nan,April 2017,T2 Inner West Line
CTP,nan,April 2017,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,April 2017,T2 Inner West Line
Day Pass without SAF,nan,April 2017,T2 Inner West Line
Employee,nan,April 2017,T2 Inner West Line
Free Travel,nan,April 2017,T2 Inner West Line
School Student,nan,April 2017,T2 Inner West Line
Senior/Pensioner,nan,April 2017,T2 Inner West Line
Sgl Trip Rail Adult,nan,April 2017,T2 Inner West Line
Sgl Trip Rail Child/Youth,nan,April 2017,T2 Inner West Line
Adult,nan,April 2017,T2 Leppington Line
Child/Youth,nan,April 2017,T2 Leppington Line
Concession,nan,April 2017,T2 Leppington Line
CTP,nan,April 2017,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,April 2017,T2 Leppington Line
Day Pass without SAF,nan,April 2017,T2 Leppington Line
Employee,nan,April 2017,T2 Leppington Line
Free Travel,nan,April 2017,T2 Leppington Line
School Student,nan,April 2017,T2 Leppington Line
Senior/Pensioner,nan,April 2017,T2 Leppington Line
Sgl Trip Rail Adult,nan,April 2017,T2 Leppington Line
Sgl Trip Rail Child/Youth,nan,April 2017,T2 Leppington Line
Adult,nan,April 2017,T8 Airport and South Line
Child/Youth,nan,April 2017,T8 Airport and South Line
Concession,nan,April 2017,T8 Airport and South Line
CTP,nan,April 2017,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,April 2017,T8 Airport and South Line
Day Pass without SAF,nan,April 2017,T8 Airport and South Line
Employee,nan,April 2017,T8 Airport and South Line
Free Travel,nan,April 2017,T8 Airport and South Line
School Student,nan,April 2017,T8 Airport and South Line
Senior/Pensioner,nan,April 2017,T8 Airport and South Line
Sgl Trip Rail Adult,nan,April 2017,T8 Airport and South Line
Sgl Trip Rail Child/Youth,nan,April 2017,T8 Airport and South Line
Adult,nan,April 2017,T9 Northern Line
Child/Youth,nan,April 2017,T9 Northern Line
Concession,nan,April 2017,T9 Northern Line
CTP,nan,April 2017,T9 Northern Line
Employee,nan,April 2017,T9 Northern Line
Free Travel,nan,April 2017,T9 Northern Line
School Student,nan,April 2017,T9 Northern Line
Senior/Pensioner,nan,April 2017,T9 Northern Line
Sgl Trip Rail Adult,nan,April 2017,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,April 2017,T9 Northern Line
Total,"28,745,729",April 2017,Grand Total
Adult,"10,184,630",May 2017,"T1 North Shore, Northern and Western Line"
Child/Youth,"377,342",May 2017,"T1 North Shore, Northern and Western Line"
Concession,"1,110,089",May 2017,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,May 2017,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,May 2017,"T1 North Shore, Northern and Western Line"
Employee,"127,495",May 2017,"T1 North Shore, Northern and Western Line"
Free Travel,"13,745",May 2017,"T1 North Shore, Northern and Western Line"
School Student,"572,689",May 2017,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"1,030,781",May 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"76,555",May 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"18,311",May 2017,"T1 North Shore, Northern and Western Line"
Adult,"6,145,569",May 2017,"T2 Airport, Inner West and South Line"
Child/Youth,"202,197",May 2017,"T2 Airport, Inner West and South Line"
Concession,"640,479",May 2017,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,May 2017,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,May 2017,"T2 Airport, Inner West and South Line"
Employee,"79,565",May 2017,"T2 Airport, Inner West and South Line"
Free Travel,"7,557",May 2017,"T2 Airport, Inner West and South Line"
School Student,"228,954",May 2017,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"643,324",May 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"140,308",May 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"14,618",May 2017,"T2 Airport, Inner West and South Line"
Adult,"1,926,075",May 2017,T3 Bankstown Line
Child/Youth,"77,414",May 2017,T3 Bankstown Line
Concession,"218,231",May 2017,T3 Bankstown Line
CTP,nan,May 2017,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T3 Bankstown Line
Day Pass without SAF,nan,May 2017,T3 Bankstown Line
Employee,"18,095",May 2017,T3 Bankstown Line
Free Travel,"1,659",May 2017,T3 Bankstown Line
School Student,"80,116",May 2017,T3 Bankstown Line
Senior/Pensioner,"269,383",May 2017,T3 Bankstown Line
Sgl Trip Rail Adult,"14,156",May 2017,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"3,630",May 2017,T3 Bankstown Line
Adult,"4,674,114",May 2017,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"145,946",May 2017,T4 Eastern Suburbs and Illawarra Line
Concession,"348,834",May 2017,T4 Eastern Suburbs and Illawarra Line
CTP,nan,May 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,May 2017,T4 Eastern Suburbs and Illawarra Line
Employee,"53,829",May 2017,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,716",May 2017,T4 Eastern Suburbs and Illawarra Line
School Student,"185,315",May 2017,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"505,792",May 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"35,669",May 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"8,361",May 2017,T4 Eastern Suburbs and Illawarra Line
Adult,"401,137",May 2017,T5 Cumberland Line
Child/Youth,"12,476",May 2017,T5 Cumberland Line
Concession,"54,344",May 2017,T5 Cumberland Line
CTP,nan,May 2017,T5 Cumberland Line
Employee,"3,521",May 2017,T5 Cumberland Line
Free Travel,146,May 2017,T5 Cumberland Line
School Student,"20,284",May 2017,T5 Cumberland Line
Senior/Pensioner,"54,834",May 2017,T5 Cumberland Line
Sgl Trip Rail Adult,"1,751",May 2017,T5 Cumberland Line
Sgl Trip Rail Child/Youth,335,May 2017,T5 Cumberland Line
Adult,"38,490",May 2017,T6 Carlingford Line
Child/Youth,612,May 2017,T6 Carlingford Line
Concession,"4,216",May 2017,T6 Carlingford Line
CTP,nan,May 2017,T6 Carlingford Line
Day Pass without SAF,nan,May 2017,T6 Carlingford Line
Employee,255,May 2017,T6 Carlingford Line
Free Travel,34,May 2017,T6 Carlingford Line
School Student,"1,135",May 2017,T6 Carlingford Line
Senior/Pensioner,"3,270",May 2017,T6 Carlingford Line
Sgl Trip Rail Adult,44,May 2017,T6 Carlingford Line
Sgl Trip Rail Child/Youth,4,May 2017,T6 Carlingford Line
Adult,"137,642",May 2017,T7 Olympic Park Line
Child/Youth,"5,618",May 2017,T7 Olympic Park Line
Concession,"12,533",May 2017,T7 Olympic Park Line
CTP,nan,May 2017,T7 Olympic Park Line
Day Pass without SAF,nan,May 2017,T7 Olympic Park Line
Employee,493,May 2017,T7 Olympic Park Line
Free Travel,31,May 2017,T7 Olympic Park Line
School Student,"3,536",May 2017,T7 Olympic Park Line
Senior/Pensioner,"7,884",May 2017,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,206",May 2017,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,184,May 2017,T7 Olympic Park Line
Adult,"643,957",May 2017,Blue Mountains Line
Child/Youth,"27,270",May 2017,Blue Mountains Line
Concession,"75,311",May 2017,Blue Mountains Line
CTP,nan,May 2017,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,May 2017,Blue Mountains Line
Day Pass without SAF,nan,May 2017,Blue Mountains Line
Employee,"12,566",May 2017,Blue Mountains Line
Free Travel,"1,266",May 2017,Blue Mountains Line
School Student,"36,279",May 2017,Blue Mountains Line
Senior/Pensioner,"118,504",May 2017,Blue Mountains Line
Sgl Trip Rail Adult,"5,076",May 2017,Blue Mountains Line
Sgl Trip Rail Child/Youth,"1,214",May 2017,Blue Mountains Line
Adult,"1,242,777",May 2017,Central Coast Newcastle Line
Child/Youth,"64,423",May 2017,Central Coast Newcastle Line
Concession,"152,458",May 2017,Central Coast Newcastle Line
CTP,nan,May 2017,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,May 2017,Central Coast Newcastle Line
Day Pass without SAF,nan,May 2017,Central Coast Newcastle Line
Employee,"25,451",May 2017,Central Coast Newcastle Line
Free Travel,"2,762",May 2017,Central Coast Newcastle Line
School Student,"101,428",May 2017,Central Coast Newcastle Line
Senior/Pensioner,"246,641",May 2017,Central Coast Newcastle Line
Sgl Trip Rail Adult,"12,285",May 2017,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"2,503",May 2017,Central Coast Newcastle Line
Adult,"45,818",May 2017,Hunter Line
Child/Youth,"4,105",May 2017,Hunter Line
Concession,"16,169",May 2017,Hunter Line
CTP,nan,May 2017,Hunter Line
Day Pass Child/Youth w/o SAF,nan,May 2017,Hunter Line
Day Pass without SAF,nan,May 2017,Hunter Line
Employee,785,May 2017,Hunter Line
Free Travel,141,May 2017,Hunter Line
School Student,"4,838",May 2017,Hunter Line
Senior/Pensioner,"19,798",May 2017,Hunter Line
Sgl Trip Rail Adult,611,May 2017,Hunter Line
Sgl Trip Rail Child/Youth,259,May 2017,Hunter Line
Adult,"664,497",May 2017,South Coast Line
Child/Youth,"30,600",May 2017,South Coast Line
Concession,"87,337",May 2017,South Coast Line
CTP,nan,May 2017,South Coast Line
Day Pass Child/Youth w/o SAF,nan,May 2017,South Coast Line
Day Pass without SAF,nan,May 2017,South Coast Line
Employee,"9,633",May 2017,South Coast Line
Free Travel,"1,129",May 2017,South Coast Line
School Student,"36,084",May 2017,South Coast Line
Senior/Pensioner,"119,768",May 2017,South Coast Line
Sgl Trip Rail Adult,"5,571",May 2017,South Coast Line
Sgl Trip Rail Child/Youth,"1,035",May 2017,South Coast Line
Adult,"52,299",May 2017,Southern Highlands Line
Child/Youth,"4,895",May 2017,Southern Highlands Line
Concession,"7,745",May 2017,Southern Highlands Line
CTP,nan,May 2017,Southern Highlands Line
Day Pass without SAF,nan,May 2017,Southern Highlands Line
Employee,"1,019",May 2017,Southern Highlands Line
Free Travel,256,May 2017,Southern Highlands Line
School Student,"2,288",May 2017,Southern Highlands Line
Senior/Pensioner,"20,006",May 2017,Southern Highlands Line
Sgl Trip Rail Adult,512,May 2017,Southern Highlands Line
Sgl Trip Rail Child/Youth,83,May 2017,Southern Highlands Line
Adult,nan,May 2017,Station Link
Child/Youth,nan,May 2017,Station Link
Concession,nan,May 2017,Station Link
Day Pass without SAF,nan,May 2017,Station Link
Employee,nan,May 2017,Station Link
Free Travel,nan,May 2017,Station Link
School Student,nan,May 2017,Station Link
Senior/Pensioner,nan,May 2017,Station Link
Sgl Trip Rail Adult,nan,May 2017,Station Link
Sgl Trip Rail Child/Youth,nan,May 2017,Station Link
Adult,nan,May 2017,T1 North Shore Line
Child/Youth,nan,May 2017,T1 North Shore Line
Concession,nan,May 2017,T1 North Shore Line
CTP,nan,May 2017,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T1 North Shore Line
Day Pass without SAF,nan,May 2017,T1 North Shore Line
Employee,nan,May 2017,T1 North Shore Line
Free Travel,nan,May 2017,T1 North Shore Line
School Student,nan,May 2017,T1 North Shore Line
Senior/Pensioner,nan,May 2017,T1 North Shore Line
Sgl Trip Rail Adult,nan,May 2017,T1 North Shore Line
Sgl Trip Rail Child/Youth,nan,May 2017,T1 North Shore Line
Adult,nan,May 2017,T1 Northern Line
Child/Youth,nan,May 2017,T1 Northern Line
Concession,nan,May 2017,T1 Northern Line
CTP,nan,May 2017,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T1 Northern Line
Day Pass without SAF,nan,May 2017,T1 Northern Line
Employee,nan,May 2017,T1 Northern Line
Free Travel,nan,May 2017,T1 Northern Line
School Student,nan,May 2017,T1 Northern Line
Senior/Pensioner,nan,May 2017,T1 Northern Line
Sgl Trip Rail Adult,nan,May 2017,T1 Northern Line
Sgl Trip Rail Child/Youth,nan,May 2017,T1 Northern Line
Adult,nan,May 2017,T1 Western Line
Child/Youth,nan,May 2017,T1 Western Line
Concession,nan,May 2017,T1 Western Line
CTP,nan,May 2017,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T1 Western Line
Day Pass without SAF,nan,May 2017,T1 Western Line
Employee,nan,May 2017,T1 Western Line
Free Travel,nan,May 2017,T1 Western Line
School Student,nan,May 2017,T1 Western Line
Senior/Pensioner,nan,May 2017,T1 Western Line
Sgl Trip Rail Adult,nan,May 2017,T1 Western Line
Sgl Trip Rail Child/Youth,nan,May 2017,T1 Western Line
Adult,nan,May 2017,T2 Inner West Line
Child/Youth,nan,May 2017,T2 Inner West Line
Concession,nan,May 2017,T2 Inner West Line
CTP,nan,May 2017,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T2 Inner West Line
Day Pass without SAF,nan,May 2017,T2 Inner West Line
Employee,nan,May 2017,T2 Inner West Line
Free Travel,nan,May 2017,T2 Inner West Line
School Student,nan,May 2017,T2 Inner West Line
Senior/Pensioner,nan,May 2017,T2 Inner West Line
Sgl Trip Rail Adult,nan,May 2017,T2 Inner West Line
Sgl Trip Rail Child/Youth,nan,May 2017,T2 Inner West Line
Adult,nan,May 2017,T2 Leppington Line
Child/Youth,nan,May 2017,T2 Leppington Line
Concession,nan,May 2017,T2 Leppington Line
CTP,nan,May 2017,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T2 Leppington Line
Day Pass without SAF,nan,May 2017,T2 Leppington Line
Employee,nan,May 2017,T2 Leppington Line
Free Travel,nan,May 2017,T2 Leppington Line
School Student,nan,May 2017,T2 Leppington Line
Senior/Pensioner,nan,May 2017,T2 Leppington Line
Sgl Trip Rail Adult,nan,May 2017,T2 Leppington Line
Sgl Trip Rail Child/Youth,nan,May 2017,T2 Leppington Line
Adult,nan,May 2017,T8 Airport and South Line
Child/Youth,nan,May 2017,T8 Airport and South Line
Concession,nan,May 2017,T8 Airport and South Line
CTP,nan,May 2017,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,May 2017,T8 Airport and South Line
Day Pass without SAF,nan,May 2017,T8 Airport and South Line
Employee,nan,May 2017,T8 Airport and South Line
Free Travel,nan,May 2017,T8 Airport and South Line
School Student,nan,May 2017,T8 Airport and South Line
Senior/Pensioner,nan,May 2017,T8 Airport and South Line
Sgl Trip Rail Adult,nan,May 2017,T8 Airport and South Line
Sgl Trip Rail Child/Youth,nan,May 2017,T8 Airport and South Line
Adult,nan,May 2017,T9 Northern Line
Child/Youth,nan,May 2017,T9 Northern Line
Concession,nan,May 2017,T9 Northern Line
CTP,nan,May 2017,T9 Northern Line
Employee,nan,May 2017,T9 Northern Line
Free Travel,nan,May 2017,T9 Northern Line
School Student,nan,May 2017,T9 Northern Line
Senior/Pensioner,nan,May 2017,T9 Northern Line
Sgl Trip Rail Adult,nan,May 2017,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,May 2017,T9 Northern Line
Total,"34,863,010",May 2017,Grand Total
Adult,"9,333,731",June 2017,"T1 North Shore, Northern and Western Line"
Child/Youth,"421,819",June 2017,"T1 North Shore, Northern and Western Line"
Concession,"775,525",June 2017,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,June 2017,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,June 2017,"T1 North Shore, Northern and Western Line"
Employee,"118,098",June 2017,"T1 North Shore, Northern and Western Line"
Free Travel,"12,203",June 2017,"T1 North Shore, Northern and Western Line"
School Student,"467,968",June 2017,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"969,060",June 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"76,471",June 2017,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"21,146",June 2017,"T1 North Shore, Northern and Western Line"
Adult,"5,775,957",June 2017,"T2 Airport, Inner West and South Line"
Child/Youth,"242,473",June 2017,"T2 Airport, Inner West and South Line"
Concession,"473,617",June 2017,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,June 2017,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,June 2017,"T2 Airport, Inner West and South Line"
Employee,"75,076",June 2017,"T2 Airport, Inner West and South Line"
Free Travel,"6,882",June 2017,"T2 Airport, Inner West and South Line"
School Student,"195,285",June 2017,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"617,657",June 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"138,458",June 2017,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"19,344",June 2017,"T2 Airport, Inner West and South Line"
Adult,"1,790,468",June 2017,T3 Bankstown Line
Child/Youth,"86,600",June 2017,T3 Bankstown Line
Concession,"160,304",June 2017,T3 Bankstown Line
CTP,nan,June 2017,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,June 2017,T3 Bankstown Line
Day Pass without SAF,nan,June 2017,T3 Bankstown Line
Employee,"16,640",June 2017,T3 Bankstown Line
Free Travel,"1,486",June 2017,T3 Bankstown Line
School Student,"68,979",June 2017,T3 Bankstown Line
Senior/Pensioner,"252,763",June 2017,T3 Bankstown Line
Sgl Trip Rail Adult,"15,053",June 2017,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"4,346",June 2017,T3 Bankstown Line
Adult,"4,271,946",June 2017,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"158,885",June 2017,T4 Eastern Suburbs and Illawarra Line
Concession,"260,856",June 2017,T4 Eastern Suburbs and Illawarra Line
CTP,nan,June 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,June 2017,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,June 2017,T4 Eastern Suburbs and Illawarra Line
Employee,"49,268",June 2017,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,321",June 2017,T4 Eastern Suburbs and Illawarra Line
School Student,"152,021",June 2017,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"468,581",June 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"36,823",June 2017,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"9,309",June 2017,T4 Eastern Suburbs and Illawarra Line
Adult,"377,855",June 2017,T5 Cumberland Line
Child/Youth,"15,732",June 2017,T5 Cumberland Line
Concession,"36,720",June 2017,T5 Cumberland Line
CTP,nan,June 2017,T5 Cumberland Line
Employee,"3,224",June 2017,T5 Cumberland Line
Free Travel,119,June 2017,T5 Cumberland Line
School Student,"17,560",June 2017,T5 Cumberland Line
Senior/Pensioner,"52,179",June 2017,T5 Cumberland Line
Sgl Trip Rail Adult,"1,962",June 2017,T5 Cumberland Line
Sgl Trip Rail Child/Youth,459,June 2017,T5 Cumberland Line
Adult,"35,694",June 2017,T6 Carlingford Line
Child/Youth,914,June 2017,T6 Carlingford Line
Concession,"2,690",June 2017,T6 Carlingford Line
CTP,nan,June 2017,T6 Carlingford Line
Day Pass without SAF,nan,June 2017,T6 Carlingford Line
Employee,252,June 2017,T6 Carlingford Line
Free Travel,26,June 2017,T6 Carlingford Line
School Student,"1,058",June 2017,T6 Carlingford Line
Senior/Pensioner,"3,260",June 2017,T6 Carlingford Line
Sgl Trip Rail Adult,49,June 2017,T6 Carlingford Line
Sgl Trip Rail Child/Youth,9,June 2017,T6 Carlingford Line
Adult,"122,355",June 2017,T7 Olympic Park Line
Child/Youth,"6,220",June 2017,T7 Olympic Park Line
Concession,"8,258",June 2017,T7 Olympic Park Line
CTP,nan,June 2017,T7 Olympic Park Line
Day Pass without SAF,nan,June 2017,T7 Olympic Park Line
Employee,525,June 2017,T7 Olympic Park Line
Free Travel,43,June 2017,T7 Olympic Park Line
School Student,"2,795",June 2017,T7 Olympic Park Line
Senior/Pensioner,"8,676",June 2017,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,298",June 2017,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,231,June 2017,T7 Olympic Park Line
Adult,"602,442",June 2017,Blue Mountains Line
Child/Youth,"33,177",June 2017,Blue Mountains Line
Concession,"53,146",June 2017,Blue Mountains Line
CTP,nan,June 2017,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,June 2017,Blue Mountains Line
Day Pass without SAF,nan,June 2017,Blue Mountains Line
Employee,"11,621",June 2017,Blue Mountains Line
Free Travel,"1,129",June 2017,Blue Mountains Line
School Student,"30,140",June 2017,Blue Mountains Line
Senior/Pensioner,"110,367",June 2017,Blue Mountains Line
Sgl Trip Rail Adult,"5,252",June 2017,Blue Mountains Line
Sgl Trip Rail Child/Youth,"1,396",June 2017,Blue Mountains Line
Adult,"1,105,407",June 2017,Central Coast Newcastle Line
Child/Youth,"66,232",June 2017,Central Coast Newcastle Line
Concession,"105,397",June 2017,Central Coast Newcastle Line
CTP,nan,June 2017,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,June 2017,Central Coast Newcastle Line
Day Pass without SAF,nan,June 2017,Central Coast Newcastle Line
Employee,"22,981",June 2017,Central Coast Newcastle Line
Free Travel,"2,449",June 2017,Central Coast Newcastle Line
School Student,"83,884",June 2017,Central Coast Newcastle Line
Senior/Pensioner,"215,429",June 2017,Central Coast Newcastle Line
Sgl Trip Rail Adult,"11,513",June 2017,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"2,662",June 2017,Central Coast Newcastle Line
Adult,"37,998",June 2017,Hunter Line
Child/Youth,"4,000",June 2017,Hunter Line
Concession,"7,100",June 2017,Hunter Line
CTP,nan,June 2017,Hunter Line
Day Pass Child/Youth w/o SAF,nan,June 2017,Hunter Line
Day Pass without SAF,nan,June 2017,Hunter Line
Employee,744,June 2017,Hunter Line
Free Travel,117,June 2017,Hunter Line
School Student,"4,087",June 2017,Hunter Line
Senior/Pensioner,"16,888",June 2017,Hunter Line
Sgl Trip Rail Adult,507,June 2017,Hunter Line
Sgl Trip Rail Child/Youth,213,June 2017,Hunter Line
Adult,"592,241",June 2017,South Coast Line
Child/Youth,"33,542",June 2017,South Coast Line
Concession,"55,123",June 2017,South Coast Line
CTP,nan,June 2017,South Coast Line
Day Pass Child/Youth w/o SAF,nan,June 2017,South Coast Line
Day Pass without SAF,nan,June 2017,South Coast Line
Employee,"8,953",June 2017,South Coast Line
Free Travel,969,June 2017,South Coast Line
School Student,"29,248",June 2017,South Coast Line
Senior/Pensioner,"107,491",June 2017,South Coast Line
Sgl Trip Rail Adult,"5,249",June 2017,South Coast Line
Sgl Trip Rail Child/Youth,"1,262",June 2017,South Coast Line
Adult,"50,460",June 2017,Southern Highlands Line
Child/Youth,"6,627",June 2017,Southern Highlands Line
Concession,"5,554",June 2017,Southern Highlands Line
CTP,nan,June 2017,Southern Highlands Line
Day Pass without SAF,nan,June 2017,Southern Highlands Line
Employee,919,June 2017,Southern Highlands Line
Free Travel,210,June 2017,Southern Highlands Line
School Student,"1,957",June 2017,Southern Highlands Line
Senior/Pensioner,"18,480",June 2017,Southern Highlands Line
Sgl Trip Rail Adult,578,June 2017,Southern Highlands Line
Sgl Trip Rail Child/Youth,147,June 2017,Southern Highlands Line
Adult,nan,June 2017,Station Link
Child/Youth,nan,June 2017,Station Link
Concession,nan,June 2017,Station Link
Day Pass without SAF,nan,June 2017,Station Link
Employee,nan,June 2017,Station Link
Free Travel,nan,June 2017,Station Link
School Student,nan,June 2017,Station Link
Senior/Pensioner,nan,June 2017,Station Link
Sgl Trip Rail Adult,nan,June 2017,Station Link
Sgl Trip Rail Child/Youth,nan,June 2017,Station Link
Adult,nan,June 2017,T1 North Shore Line
Child/Youth,nan,June 2017,T1 North Shore Line
Concession,nan,June 2017,T1 North Shore Line
CTP,nan,June 2017,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,June 2017,T1 North Shore Line
